,general_wages,athletics_wages,gifted_wages,accelerated_wages,disability_wages,billingual_wages,bond_interest,debt_interest,rent,athletics,per_capita_ASF,foundational_school,school_lunch,bond_principal,prof_services,utilities,USDA_donations,overtime,land_purchase
014906108,2621187,815.0,,209813.0,271947.0,27542.0,,,,,,,,,12982.0,150207.0,,,
014906109,1876585,,,230901.0,130368.0,677102.0,,,,,,,,,8509.0,118632.0,,,
014906110,1995208,,,230116.0,297779.0,648891.0,,,,,,,,,28986.0,128499.0,,,
014906111,1702970,,,169025.0,282504.0,62787.0,,,,,,,,,7240.0,100553.0,,,
014906112,1556740,350.0,,213413.0,266990.0,80459.0,,,,,,,,,12307.0,110520.0,,,
014906113,1796961,,,166145.0,338116.0,32244.0,,,,,,,,,52982.0,94043.0,,,
014906115,2702357,,863.0,148974.0,364822.0,99512.0,,,,,,,,,24342.0,104590.0,,,
014906116,2210522,,,279503.0,162417.0,20147.0,,,,,,,,,7038.0,107383.0,,,
014906117,2335204,,,224218.0,188855.0,38215.0,,,,,,,,,8773.0,102271.0,,,
014906119,2330799,,,213421.0,324826.0,58096.0,,,,,,,,,27360.0,114970.0,,,
014906120,2330267,,,170562.0,554878.0,49956.0,,,,,,,,,288783.0,114497.0,,,
014906121,2623551,,68.0,187437.0,440803.0,61670.0,,,,,,,,,27272.0,112540.0,,,
014906122,3296227,,,233837.0,170020.0,95250.0,,,,,,,,,201292.0,134818.0,,,
014906123,2554937,,,209303.0,273056.0,51228.0,,,,,,,,,21647.0,112540.0,,,
014906124,2317811,,,181900.0,241150.0,98638.0,,,,,,,,,23213.0,95342.0,,,
014906125,2129185,530.0,,199609.0,412514.0,67839.0,,,,,,,,,18622.0,129915.0,,,
014906126,1929270,,,240679.0,630042.0,91455.0,,,,,,,,,22752.0,138129.0,,,
014906127,2336712,,,236802.0,518243.0,49536.0,,,,,,,,,18455.0,119478.0,,,
014906128,1725752,,,155800.0,457856.0,26669.0,,,,,,,,,24040.0,113884.0,,,
014906129,2224893,,,189689.0,468287.0,81808.0,,,,,,,,,24520.0,127470.0,,,
014906130,2068137,,,202408.0,288678.0,27870.0,,,,,,,,,14221.0,150744.0,,,
014906131,3260494,,,283648.0,261497.0,87828.0,,,,,,,,,11365.0,158894.0,,,
014906132,1905740,,,241781.0,323907.0,351100.0,,,,,,,,,14060.0,132794.0,,,
014906133,2559989,,,186571.0,528681.0,28816.0,,,,,,,,,17614.0,146348.0,,,
014906135,2475019,,,213301.0,663246.0,49475.0,,,,,,,,,29898.0,189063.0,,,
014906136,3062887,,,208997.0,470873.0,51790.0,,,,,,,,,28492.0,173235.0,,,
014906137,150929,,,6581.0,18438.0,9483.0,,,,,,,,,88087.0,62379.0,,,276353.0
014906699,292338,,,2063235.0,,297202.0,,,,,,,,,,,,,
014906999,51132,165749.0,,6101.0,340287.0,,6321326.0,,,,,,,7939999.0,118189.0,1267614.0,850806.0,,
014907001,1000622,,,87919.0,41979.0,,,,,,,,,,6983.0,,,,
014907041,567883,,,103917.0,52182.0,,,,,,,,,,839.0,,,,
014907102,829232,,30142.0,104880.0,87284.0,13691.0,,,,,,,,,1233.0,,,,
014908001,1325783,219651.0,,153748.0,167814.0,566.0,,,,,,,,,29930.0,,,,
014908041,1069241,,9732.0,92775.0,125538.0,,,,,,,,,,,,,,
014908042,593417,,,42194.0,62972.0,,,,,,,,,,,,,,
014908101,826170,,11670.0,117535.0,73023.0,8290.0,,,,,,,,,,,,,
014909002,4945478,647340.0,12175.0,539462.0,1431848.0,,,,,,,,,,217419.0,34638.0,40498.0,42.0,
014909041,1827766,39427.0,,190299.0,450337.0,,,,,,,,,,15223.0,8993.0,17353.0,,
014909042,1891231,39927.0,,248391.0,448531.0,,,,,,,,,,17313.0,14564.0,14498.0,,
014909044,1587899,37585.0,90.0,207863.0,490376.0,,,,,,,,,,15859.0,8493.0,13935.0,,
014909101,674859,,,446026.0,134628.0,,,,,,,,,,1892.0,9353.0,8094.0,,
014909102,1138626,,,239950.0,64632.0,,,,,,,,,,1229.0,9874.0,9184.0,,
014909107,1492142,,,125106.0,237587.0,,,,,,,,,,2991.0,6236.0,13652.0,,
014909110,1119857,,,162651.0,58602.0,,,,,,,,,,1161.0,6582.0,9707.0,,
014909111,1402309,,,223983.0,154106.0,,,,,,,,,,1913.0,8530.0,12826.0,,
014909114,1422045,,,136025.0,131472.0,,,,,,,,,,7300.0,6179.0,13376.0,,
014909115,1290974,,,171049.0,190841.0,,,,,,,,,,3592.0,6210.0,12050.0,,
014909116,1392026,,,223669.0,132599.0,,,,,,,,,,2152.0,6916.0,13043.0,,
014909117,1507953,,,107171.0,143048.0,,,,,,,,,,2210.0,6747.0,14428.0,,
014909118,1676949,,,234580.0,67012.0,,,,,,,,,,6716.0,8508.0,16971.0,,
014909999,51862,148881.0,155112.0,175573.0,338236.0,261172.0,2195718.0,1797.0,,,,,,2975000.0,532142.0,3086633.0,5700.0,74160.0,
014910001,1022162,159042.0,14532.0,75836.0,107890.0,641.0,,,,,,,,,21343.0,,,4433.0,
014910041,920158,27950.0,13891.0,58788.0,165802.0,1332.0,,,,,,,,,29807.0,,,1301.0,150000.0
014910101,964301,,13320.0,135331.0,95313.0,554.0,,,,,,,,,22111.0,,,235.0,
014910103,576546,,13483.0,,143467.0,304.0,,,,,,,,,12281.0,,,752.0,
015901001,5338553,286607.0,7190.0,460335.0,688659.0,,,,,,,,,,599325.0,,,,
015901041,3672782,69025.0,249399.0,181429.0,608687.0,,,,,,,,,,296011.0,,,,
015901101,2924461,,64680.0,158784.0,517880.0,,,,,,,,,,323518.0,,,,
015901102,927384,,,219579.0,483638.0,5288.0,,,,,,,,,288828.0,,,,
