,per_pupil_exp,per_pupil_instruction,per_pupil_leadership
025902107,5316,4250,64
025902108,5823,4398,36
025902109,5224,3864,35
025904001,8547,7432,0
025904101,5811,4890,0
025904160,.,.,.
025904161,.,.,.
025905001,7711,6151,0
025905101,7371,5883,0
025906001,7929,7230,0
025906101,5091,4469,0
025906160,.,.,.
025908001,11099,8418,0
025908101,5304,4407,0
025909001,7515,5600,96
025909041,6447,4524,92
025909101,5636,4011,72
025909102,5592,4182,87
026901001,7332,5219,0
026901041,5707,4417,0
026901042,4898,4023,0
026901101,6041,5124,0
026902001,9922,6024,3
026902005,.,.,.
026902041,8377,6103,3
026902101,6898,5427,2
026903002,12661,8882,0
026903042,6540,4261,0
026903101,5637,4784,0
027903001,6916,4814,59
027903003,16722,10917,101
027903041,5315,3848,105
027903101,5622,4588,131
027903102,6375,5154,99
027903103,5192,4266,55
027903104,5436,4386,79
027904001,7576,5271,141
027904002,12982,9331,191
027904041,6010,4439,127
027904101,6226,5033,147
027904102,5936,4916,193
027904103,6369,5303,209
027904104,7672,5886,213
028902001,6864,4436,78
028902004,7175,4780,62
028902038,6755,3814,42
028902045,5855,3934,54
028902101,6279,4492,54
028902102,5681,4287,48
028902103,6624,4709,56
028902104,6612,4675,56
028902105,5748,4212,55
028903001,6647,4991,55
028903041,6338,4941,118
028903101,6223,5212,192
028903102,5471,4389,350
028903103,4623,3897,159
028906001,6692,5631,0
029901001,6087,4629,84
029901003,7380,4795,33
029901043,6138,4739,118
029901101,5107,4251,84
029901102,5515,4718,71
029901104,7835,6010,87
029901105,7744,6276,76
029901107,6960,5628,96
030901001,8662,7129,0
030901101,5912,5144,0
030902001,7405,4950,0
030902041,5770,4079,0
030902101,5921,4550,0
030902103,5423,3988,0
030903001,12643,8813,0
030903041,5017,4222,0
030903101,6147,4814,0
030906001,11027,7145,0
030906041,5928,4753,0
030906101,5934,4691,0
031803001,7103,4146,0
031901001,7436,5135,95
031901002,7378,4923,92
031901003,7279,4876,82
031901004,7567,4983,100
031901007,7348,4770,91
031901008,10674,8042,0
031901034,3350,3350,0
031901042,8871,6452,119
031901043,8380,5765,306
031901044,7751,5548,78
031901045,6955,4913,81
031901046,7508,5160,96
031901047,7336,5168,87
031901048,8361,5881,103
031901051,7381,5220,96
031901053,6658,4643,69
031901054,6151,4348,62
031901101,6642,4610,57
031901102,7442,5357,78
031901103,8898,5972,133
031901104,6830,4824,89
031901105,6744,4721,71
031901106,7108,5154,84
031901108,7254,4946,68
031901109,8709,5384,91
031901110,6616,4623,244
031901111,6660,4678,46
031901112,6535,4655,63
031901113,7812,5532,102
031901115,6847,4761,90
031901117,7552,4905,48
031901120,6918,4757,79
031901121,7131,5032,111
031901122,7003,4937,58
031901123,6453,4690,70
031901124,6943,4859,60
031901126,6019,4380,64
031901128,6288,4634,77
031901129,6723,4794,89
031901130,6282,4542,68
031901131,7496,5192,87
031901132,5830,3990,232
031901133,6231,4613,70
031901134,5602,4090,57
031901135,6795,4920,80
031901136,6506,4542,72
031901137,6252,4596,64
031901138,6096,4308,80
031901139,6327,4343,67
031901140,6229,4360,53
031901141,.,.,.
031901142,.,.,.
031901143,.,.,.
031903001,7343,4588,191
031903002,7341,4543,177
031903003,9867,6022,404
031903004,.,.,.
031903005,6570,4064,101
031903006,9205,7637,144
031903041,7345,5127,177
031903042,7432,5052,199
031903043,7230,4967,186
031903044,7965,5452,218
031903045,6763,4578,179
031903102,5979,4280,113
031903103,5587,4268,82
031903104,6818,4837,85
031903105,6006,4352,96
031903106,6197,4579,87
031903107,6596,5000,138
031903108,6464,4493,118
031903109,5223,3954,88
031903110,5831,4357,97
