,gr9_all_tests,gr9_maths,gr9_reading,sat,act,sat/act_pct
015910129,-1,-1,-1,.,.,.
015910130,-1,-1,-1,.,.,.
015910131,-1,-1,-1,.,.,.
015910132,.,.,.,.,.,.
015910133,-1,-1,-1,.,.,.
015910134,-1,-1,-1,.,.,.
015910135,-1,-1,-1,.,.,.
015910136,-1,-1,-1,.,.,.
015910137,-1,-1,-1,.,.,.
015910138,-1,-1,-1,.,.,.
015910139,-1,-1,-1,.,.,.
015911001,47,48,79,938,20.4,56.9
015911004,.,.,.,.,.,.
015911005,31,10,77,.,.,-1
015911041,-1,-1,-1,.,.,.
015911042,-1,-1,-1,.,.,.
015911043,-1,-1,-1,.,.,.
015911101,-1,-1,-1,.,.,.
015911102,-1,-1,-1,.,.,.
015911103,-1,-1,-1,.,.,.
015911104,-1,-1,-1,.,.,.
015911105,.,.,.,.,.,.
015911106,-1,-1,-1,.,.,.
015912001,52,54,80,868,19.5,46.7
015912003,.,.,.,.,.,.
015912041,-1,-1,-1,.,.,.
015912042,-1,-1,-1,.,.,.
015912044,-1,-1,-1,.,.,.
015912101,-1,-1,-1,.,.,.
015912102,-1,-1,-1,.,.,.
015912103,-1,-1,-1,.,.,.
015912104,-1,-1,-1,.,.,.
015912105,-1,-1,-1,.,.,.
015912106,-1,-1,-1,.,.,.
015912107,-1,-1,-1,.,.,.
015912108,-1,-1,-1,.,.,.
015912109,-1,-1,-1,.,.,.
015913001,81,80,98,1035,22.5,91.2
015913101,-1,-1,-1,.,.,.
015914001,62,60,99,999,20.6,87.1
015914101,-1,-1,-1,.,.,.
015915001,44,45,81,862,17.5,35.2
015915002,50,53,83,862,17.9,55.8
015915003,72,73,93,980,20.2,74.7
015915004,.,.,.,-1,.,-2
015915005,67,70,88,1047,21.8,80
015915006,90,90,99,1122,24.1,88.6
015915007,63,64,90,947,20.5,52.1
015915008,.,.,.,.,.,.
015915011,-1,-1,-1,-1,-1,3.1
015915013,-1,-1,-1,.,.,.
015915016,70,72,93,999,21.1,75.1
015915019,60,61,90,947,20.5,65.5
015915020,.,.,.,.,.,-1
015915039,.,.,.,.,.,.
015915041,-1,-1,-1,.,.,.
015915042,-1,-1,-1,.,.,.
015915043,-1,-1,-1,.,.,.
015915044,-1,-1,-1,.,.,.
015915045,-1,-1,-1,.,.,.
015915046,-1,-1,-1,.,.,.
015915047,-1,-1,-1,.,.,.
015915048,-1,-1,-1,.,.,.
015915049,-1,-1,-1,.,.,.
015915050,-1,-1,-1,.,.,.
015915051,-1,-1,-1,.,.,.
015915052,-1,-1,-1,.,.,.
