,gr3_ela_avg,gr4_ela_avg,gr4_writ_avg,gr5_ela_avg,gr5_sci_avg,CAMPUS,DISTRICT
101915119,90,86,85,94,85,101915119,101915
101915121,81,85,76,98,92,101915121,101915
101915123,91,86,83,92,83,101915123,101915
101915124,90,91,83,100,86,101915124,101915
101915125,96,90,88,98,81,101915125,101915
101915128,88,88,82,100,92,101915128,101915
101916104,85,88,88,93,95,101916104,101916
101916105,83,81,67,91,83,101916105,101916
101917116,86,80,79,87,65,101917116,101917
101919102,48,45,40,73,42,101919102,101919
101919105,69,50,51,79,67,101919105,101919
101919106,66,70,66,80,63,101919106,101919
101919108,67,65,53,82,60,101919108,101919
101919110,69,65,60,84,65,101919110,101919
101919111,89,78,68,84,77,101919111,101919
101919112,73,70,70,87,72,101919112,101919
101919115,82,59,60,75,65,101919115,101919
101919116,74,62,65,72,54,101919116,101919
101919117,74,65,66,79,62,101919117,101919
101919119,65,78,81,89,80,101919119,101919
101919120,81,77,72,80,79,101919120,101919
101919121,70,55,51,77,46,101919121,101919
101919126,61,54,60,74,65,101919126,101919
101919127,60,60,54,89,37,101919127,101919
101919128,76,51,46,90,64,101919128,101919
101920103,70,69,67,82,75,101920103,101920
101920109,94,95,96,98,97,101920109,101920
101920112,94,97,96,99,92,101920112,101920
101920114,61,46,62,63,32,101920114,101920
101920124,67,71,72,83,57,101920124,101920
104901101,85,77,84,88,66,104901101,104901
105902107,83,71,66,91,78,105902107,105902
105904102,88,81,73,98,89,105904102,105904
105906101,80,80,71,93,60,105906101,105906
105906103,59,58,53,79,73,105906103,105906
105906106,85,87,66,87,69,105906106,105906
105906107,95,94,93,100,84,105906107,105906
105906108,73,74,60,84,78,105906108,105906
105906109,54,54,43,76,58,105906109,105906
105906110,69,59,45,86,51,105906110,105906
105906111,90,88,89,96,78,105906111,105906
105906114,65,64,50,87,69,105906114,105906
105906116,75,82,71,92,71,105906116,105906
107906102,95,88,86,95,88,107906102,107906
108902102,62,56,90,78,75,108902102,108902
108902111,39,43,43,67,53,108902111,108902
108902114,57,52,51,56,44,108902114,108902
108902116,63,36,52,73,58,108902116,108902
108904101,98,91,93,100,95,108904101,108904
108904107,69,67,73,77,51,108904107,108904
108904114,94,92,94,96,93,108904114,108904
108904124,66,69,76,73,60,108904124,108904
108906103,68,71,69,85,51,108906103,108906
108906114,70,65,52,85,61,108906114,108906
108906119,69,70,65,98,83,108906119,108906
