,gr3_stu_count,gr4_stu_count,gr5_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
170906103,129,123,119,21,726,483,33,91,333,.,.,.,8.568627451,39173,50.1637,170,N,96.5,170906103,170906
172902103,20,20,28,81,156,55,3,23,137,.,.,.,20.2,40353,12.4545,172,N,96.8,172902103,172902
175902101,64,55,53,14,381,309,10,33,208,.,.,.,12.75862069,34646,28.4856,175,N,95.8,175902101,175902
175904101,31,27,49,21,240,197,8,20,119,.,.,.,12.533333333,36347,14.9999,175,N,96.5,175904101,175904
175911101,54,44,42,22,317,189,41,39,198,.,.,.,9.25,32747,22.6936,175,N,96.6,175911101,175911
178902103,14,22,20,1,134,18,2,24,104,.,.,.,10.181818182,38358,9.0475,178,N,97.1,178902103,178902
178904101,79,54,64,9,447,11,0,52,426,.,.,.,12.907334665,44008,27.2287,178,N,95.8,178904101,178904
178904103,59,62,82,9,424,70,0,66,276,.,.,.,12.321428571,41369,26.6996,178,N,96.5,178904103,178904
178904104,68,59,66,9,383,18,0,56,329,.,.,.,10.292993965,39987,21.8169,178,N,97.1,178904104,178904
178904105,50,55,65,8,384,35,0,43,317,.,.,.,15.6134936,47415,24.3503,178,N,96.4,178904105,178904
178904110,57,48,58,36,406,26,0,56,396,.,.,.,12.115885912,41659,23.1748,178,N,96.7,178904110,178904
178904115,68,53,48,57,395,13,0,58,364,.,.,.,14.341241991,45027,26.0032,178,N,96.5,178904115,178904
178904116,68,63,64,27,467,59,0,47,428,.,.,.,14.438951326,43320,27.7979,178,N,95.2,178904116,178904
178904117,71,108,73,20,597,33,0,86,531,.,.,.,11.131804614,41318,35.4521,178,N,96.3,178904117,178904
178904119,53,44,49,10,342,4,0,51,325,.,.,.,9.0033141944,41226,22.0443,178,N,95.4,178904119,178904
178904120,47,42,47,12,329,10,0,41,304,.,.,.,11.499768793,43014,20.1572,178,N,96,178904120,178904
178904121,55,48,55,12,396,12,0,41,356,.,.,.,17.175816141,47498,25.2797,178,N,97.9,178904121,178904
178904122,91,95,78,24,627,11,0,66,594,.,.,.,14.120575415,44932,40.5,178,N,97.3,178904122,178904
178904123,95,91,83,22,566,96,0,64,387,.,.,.,12.509277714,42110,34.5287,178,N,97,178904123,178904
178904129,40,57,67,12,342,4,0,51,308,.,.,.,14.8,43198,24.7004,178,N,96.8,178904129,178904
178904134,52,61,69,31,394,82,0,33,272,.,.,.,13.597699526,46070,26.0022,178,N,96.6,178904134,178904
178904138,114,118,128,25,756,250,0,92,453,.,.,.,13.350664694,41419,42.9147,178,N,96.2,178904138,178904
