,gr6_ela_avg,gr7_ela_avg,gr7_writ_avg,gr8_ela_avg,gr8_sci_avg,CAMPUS,DISTRICT
101924041,63,61,56,85,66,101924041,101924
101924043,70,73,61,83,70,101924043,101924
101925041,80,76,65,92,65,101925041,101925
102904041,82,81,80,97,85,102904041,102904
102905041,88,88,96,98,67,102905041,102905
102906041,92,89,92,93,77,102906041,102906
104901041,100,90,95,94,58,104901041,104901
105902041,74,70,65,83,58,105902041,105902
105902043,72,65,51,83,60,105902043,105902
105904041,94,93,89,97,86,105904041,105904
105905041,93,93,90,97,86,105905041,105905
105906041,87,77,77,92,73,105906041,105906
105906043,93,91,84,97,78,105906043,105906
105906044,75,76,67,87,68,105906044,105906
105906045,71,75,66,91,79,105906045,105906
105906046,70,74,76,83,67,105906046,105906
106901041,88,98,89,95,75,106901041,106901
107901041,72,77,72,84,64,107901041,107901
107904041,76,80,95,80,73,107904041,107904
107905102,88,84,64,97,75,107905102,107905
107906041,87,93,80,89,85,107906041,107906
107910041,77,77,69,90,64,107910041,107910
108807011,96,92,91,99,86,108807011,108807
108807012,88,86,90,92,80,108807012,108807
108807020,93,74,75,93,74,108807020,108807
108807035,66,73,62,93,83,108807035,108807
108902045,59,64,67,68,61,108902045,108902
108902046,51,45,51,63,43,108902046,108902
108902047,50,51,48,76,66,108902047,108902
108902048,59,52,54,73,65,108902048,108902
108904043,85,75,76,86,71,108904043,108904
108904044,80,86,86,94,74,108904044,108904
108904045,70,74,75,80,56,108904045,108904
108904046,72,70,74,74,54,108904046,108904
108904047,66,66,67,67,66,108904047,108904
108904048,74,67,70,76,67,108904048,108904
108905041,51,61,72,72,70,108905041,108905
108906042,62,59,52,75,54,108906042,108906
