,gr6_math_avg,gr6_ela_avg,gr7_math_avg,gr7_ela_avg,gr7_writ_avg,gr8_math_avg,gr8_ela_avg,gr8_sci_avg,CAMPUS,DISTRICT
057909052,80,81,62,84,83,91,94,88,057909052,057909
057909054,71,70,55,73,71,90,92,68,057909054,057909
057910041,50,52,50,59,48,82,84,66,057910041,057910
057910045,76,63,66,66,56,88,84,75,057910045,057910
057910047,65,51,59,66,64,86,89,77,057910047,057910
057910050,85,76,82,83,78,89,89,88,057910050,057910
057910051,76,57,51,53,40,79,76,59,057910051,057910
057910052,74,53,77,54,44,78,79,67,057910052,057910
057912041,60,48,60,52,51,80,75,70,057912041,057912
057912042,66,47,71,64,59,88,74,58,057912042,057912
057912043,69,58,75,66,62,79,75,72,057912043,057912
057912044,69,54,64,63,59,83,75,72,057912044,057912
057912045,66,54,60,52,53,73,67,66,057912045,057912
057912046,65,60,64,62,59,90,85,80,057912046,057912
057912048,78,59,77,64,60,80,73,68,057912048,057912
057912050,69,57,61,56,52,74,73,65,057912050,057912
057914043,85,58,62,62,62,91,79,87,057914043,057914
057914047,74,62,61,66,63,89,84,80,057914047,057914
057914048,78,69,70,69,70,82,87,83,057914048,057914
057922042,100,93,98,94,92,98,98,98,057922042,057922
057922043,96,90,94,92,88,97,96,92,057922043,057922
057922044,95,91,96,95,89,96,97,93,057922044,057922
058906041,52,45,44,54,52,80,75,63,058906041,058906
060902041,90,80,69,76,69,89,87,64,060902041,060902
061901041,88,85,88,87,87,98,95,88,061901041,061901
061901044,76,69,76,77,74,88,85,77,061901044,061901
061901045,66,56,63,66,64,70,76,76,061901045,061901
061901046,80,77,77,75,77,84,89,79,061901046,061901
061901047,82,75,75,80,83,92,92,89,061901047,061901
061901048,97,89,91,93,87,97,97,92,061901048,061901
061901049,63,64,70,68,62,89,84,71,061901049,061901
061902042,88,60,54,70,62,79,80,65,061902042,061902
061902044,68,78,58,79,71,87,88,74,061902044,061902
061902045,94,83,87,86,86,96,96,90,061902045,061902
061902046,66,67,35,70,58,76,88,77,061902046,061902
061902047,91,81,79,86,90,96,95,90,061902047,061902
061902048,96,90,79,92,87,95,94,87,061902048,061902
061902049,89,82,78,89,90,97,97,94,061902049,061902
061902050,73,48,41,51,41,72,75,52,061902050,061902
061902052,66,62,57,75,63,86,85,61,061902052,061902
061902053,97,94,86,96,96,97,98,95,061902053,061902
061902054,82,76,65,82,84,92,92,83,061902054,061902
061902055,98,93,90,92,92,96,95,91,061902055,061902
061902056,74,63,50,64,63,81,83,68,061902056,061902
061902058,95,92,88,94,93,98,98,94,061902058,061902
061902059,87,83,71,87,87,94,90,85,061902059,061902
061905041,84,68,82,78,75,91,92,83,061905041,061905
061906041,86,67,80,75,78,99,91,87,061906041,061906
061910041,86,87,96,96,92,94,93,93,061910041,061910
061911042,94,88,73,92,91,97,97,94,061911042,061911
061911043,81,69,67,82,80,91,93,92,061911043,061911
061911044,83,72,69,85,84,91,93,87,061911044,061911
061911045,84,79,75,86,82,92,94,91,061911045,061911
061911046,94,83,60,84,81,96,97,92,061911046,061911
061912041,86,73,85,80,76,91,91,83,061912041,061912
061914041,77,61,50,67,61,86,86,66,061914041,061914
062901041,68,65,80,76,78,92,89,71,062901041,062901
062903041,60,59,56,73,63,72,81,60,062903041,062903
062904041,56,59,68,74,68,88,92,85,062904041,062904
065901041,79,85,65,88,88,92,97,77,065901041,065901
