,SAT_avg,ACT_avg,SAT/ACT_pct
219903,1067,19.9,50.7
219905,.,20.5,54.2
220801,.,.,.
220802,.,.,.
220803,.,.,.
220806,.,.,0
220807,.,.,.
220901,1044,21.3,66.9
220902,1022,19.9,59.3
220904,875,17.5,67.6
220905,941,19.1,52.1
220906,1073,22,82.2
220907,1024,20.3,68.1
220908,1016,21.4,60.9
220909,792,.,66.7
220910,956,18.1,29
220912,1006,21.6,69.6
220914,1001,19.8,50.8
220915,1013,21.5,67.6
220916,1030,22.2,65.5
220917,921,19.6,42.9
220918,994,20.9,59.5
220919,1091,23.6,94.5
220920,964,20.5,55.8
221801,.,.,.
221901,1000,20.7,63.6
221904,909,19.6,57.9
221905,.,26.7,77.8
221911,1018,21.8,88
221912,1040,21.9,70.6
222901,.,19.8,54.5
223901,986,20.2,52.1
223902,944,19.9,65
223904,1068,22.3,41.2
224901,.,18.2,72.2
224902,.,.,45.5
225902,1005,19.3,31.8
225905,.,.,.
225906,1035,.,20.7
225907,.,.,.
226901,.,19.1,57.1
226903,1012,21.2,59.1
226905,941,20.3,58.8
226906,1054,20.8,80
226907,.,.,.
226908,.,.,.
227801,.,.,0
227802,.,.,.
227803,.,.,.
227804,.,.,.
227805,.,.,.
227806,.,.,.
227807,.,.,.
227812,.,.,.
227814,.,.,.
227901,1052,20.8,58.4
227904,1020,21.5,66.5
227907,908,18.5,50
227909,1177,24.9,94
227910,902,16.4,40.3
227912,1074,21.9,61.2
227913,1110,22.6,81.7
228901,886,.,48.5
228903,959,19.8,66
228904,917,.,53.8
228905,867,.,60
229901,894,19.1,85.2
229903,954,18.1,47.7
229904,856,18.2,53
229905,1006,20.3,63
229906,897,.,53.3
230901,1079,19.2,60
230902,964,21,48.8
230903,.,18.7,55.3
230904,898,.,68.4
230905,973,20.3,56.3
230906,948,21.2,39.5
230908,1023,21.3,40
231901,909,18.5,66.7
231902,.,19.3,79.2
232801,.,.,.
232901,.,.,44.4
232902,916,19.8,77.8
232903,933,19.9,55.3
232904,1000,19.5,.
233801,.,.,.
233901,966,17.9,37.2
233903,819,.,.
234801,.,.,.
234902,974,20.1,42.9
234903,879,19.7,42.6
234904,964,18.7,53.3
234905,.,18.8,75
234906,977,23.5,50
234907,989,19.6,45.7
234909,.,.,15.4
235901,872,17.5,54
235902,980,19.7,45.1
235904,.,.,.
236801,.,.,.
236901,932,20.2,59.5
236902,1000,18.9,59.7
237902,865,18.6,64.4
237904,961,19.1,61.8
237905,966,18.3,70.8
