,general_wages,athletics_wages,gifted_wages,accelerated_wages,disability_wages,billingual_wages,bond_interest,debt_interest,rent,athletics,per_capita_ASF,foundational_school,school_lunch,bond_principal,prof_services,utilities,USDA_donations,overtime,land_purchase
014903999,4621,518113.0,,202631.0,433382.0,4340.0,5253928.0,,,,,,,5433489.0,2191242.0,805781.0,30880.0,720797.0,1967472.0
014905001,625795,56090.0,2305.0,60978.0,27587.0,,,,,,,,,,23070.0,,,1409.0,
014905041,549486,48153.0,14428.0,59793.0,68400.0,,,,,,,,,,8470.0,,,1345.0,
014905101,1044260,,1611.0,129875.0,88091.0,9586.0,,,,,,,,,18611.0,,,3115.0,
014906001,6617771,578953.0,253908.0,152716.0,1574681.0,510.0,,,,,,,,,36551.0,294557.0,,59924.0,
014906002,6825977,534219.0,,55292.0,1441324.0,,,,,,,,,,55015.0,404220.0,,125137.0,
014906003,925356,,,2325.0,147176.0,,,,,,,,,,11632.0,220570.0,,2182.0,
014906004,1030126,,,17801.0,248817.0,,,,,,,,,,1969.0,1084.0,,5047.0,
014906006,4572,,,10233.0,101719.0,,,,,,,,,,498.0,62277.0,,14208.0,
014906007,6573785,518453.0,,78736.0,1442642.0,,,,,,,,,,37590.0,371018.0,,54172.0,
014906008,6137002,551674.0,,171035.0,1529815.0,1311.0,,,,,,,,,115964.0,387702.0,,55165.0,
014906009,4601,,,15616.0,174820.0,,,,,,,,,,1494.0,,,860.0,
014906013,2120013,,,3280.0,87324.0,,,,,,,,,,498.0,98296.0,,1694.0,
014906022,37711,,,,87862.0,,,,,,,,,,1189.0,,,143.0,
014906025,4667,,,12084.0,88419.0,,,,,,,,,,1017.0,417.0,,1566.0,
014906042,2719533,33369.0,,96070.0,804715.0,,,,,,,,,,18010.0,114872.0,,9079.0,
014906043,2536113,32561.0,27611.0,118140.0,639856.0,,,,,,,,,,9481.0,123531.0,,9412.0,
014906044,2507969,33483.0,,46597.0,879348.0,,,,,,,,,,59540.0,119213.0,,10160.0,
014906046,2746714,41688.0,,68581.0,662337.0,,,,,,,,,,43817.0,135474.0,,11284.0,
014906048,2982194,41833.0,,130196.0,710298.0,,,,,,,,,,10237.0,175139.0,,2067.0,
014906049,3108998,38749.0,,88999.0,585306.0,,,,,,,,,,13202.0,131607.0,,3416.0,
014906050,2780982,35298.0,,131826.0,609563.0,,,,,,,,,,5664.0,152648.0,,4654.0,
014906051,3450830,51054.0,,67224.0,443137.0,,,,,,,,,,23336.0,143379.0,,5258.0,
014906052,3288564,38531.0,,86688.0,450844.0,408.0,,,,,,,,,7309.0,216110.0,,5392.0,
014906053,4883521,43643.0,26999.0,104712.0,554180.0,301.0,,,,,,,,,4386.0,181172.0,,6879.0,
014906054,310544,2585.0,,,17511.0,,,,,,,,,,,245999.0,,2230.0,
014906100,800,,,1670.0,163110.0,,,,,,,,,,1943.0,,,646.0,
014906102,1839877,,,65194.0,319661.0,,,,,,,,,,36004.0,65614.0,,795.0,
014906103,1774193,,,62494.0,631711.0,,,,,,,,,,91556.0,83724.0,,5517.0,
014906105,2620790,,,116891.0,241465.0,36395.0,,,,,,,,,49893.0,85606.0,,9271.0,
014906108,2206092,,,101496.0,164560.0,,,,,,,,,,5713.0,120264.0,,1937.0,
014906109,2723935,,85870.0,146182.0,146262.0,68074.0,,,,,,,,,10074.0,84774.0,,1494.0,
014906110,2608240,,,108710.0,300824.0,42629.0,,,,,,,,,54226.0,93053.0,,9361.0,
014906111,1696710,,,83200.0,285243.0,,,,,,,,,,1690.0,69746.0,,1397.0,
014906112,1937039,,,95721.0,281480.0,,,,,,,,,,4858.0,65928.0,,2774.0,
014906113,1677538,,,65429.0,585151.0,,,,,,,,,,82358.0,59211.0,,1868.0,
014906115,2428564,,,63846.0,658395.0,,,,,,,,,,116860.0,86491.0,,1507.0,
014906116,1567722,,,65103.0,73973.0,,,,,,,,,,6657.0,80936.0,,881.0,
014906117,1469118,,,57156.0,71468.0,1387.0,,,,,,,,,2823.0,68928.0,,824.0,
014906119,2038466,,,63488.0,522693.0,,,,,,,,,,21427.0,73250.0,,5197.0,
014906120,3179380,,,82935.0,136574.0,,,,,,,,,,1269.0,96288.0,,6935.0,
014906121,3088815,,1775.0,196332.0,152666.0,1724.0,,,,,,,,,110849.0,99730.0,,1893.0,
014906122,3204780,,,68457.0,654873.0,,,,,,,,,,101425.0,111937.0,,2373.0,
014906123,2297081,,,71406.0,164579.0,,,,,,,,,,997.0,99214.0,,5992.0,
014906124,2317604,,,69450.0,266265.0,,,,,,,,,,24681.0,91125.0,,8374.0,
014906125,2104268,,,61508.0,158421.0,,,,,,,,,,9024.0,91801.0,,9152.0,
014906126,1467944,,,68580.0,349048.0,,,,,,,,,,9721.0,82663.0,,1345.0,
014906127,2904328,,,136569.0,242233.0,61052.0,,,,,,,,,28730.0,97580.0,,8868.0,
014906128,1958106,,,62161.0,493301.0,,,,,,,,,,69623.0,86630.0,,2228.0,
014906129,2219788,,,69416.0,153298.0,,,,,,,,,,8224.0,91602.0,,6908.0,
014906130,2385503,,,68576.0,271810.0,,,,,,,,,,18958.0,102124.0,,6291.0,
014906131,3085163,,98381.0,75452.0,640110.0,,,,,,,,,,29763.0,111263.0,,2486.0,
014906132,1603462,,,65802.0,140404.0,3600.0,,,,,,,,,7876.0,120471.0,,1388.0,
014906133,3494473,,,84401.0,313840.0,,,,,,,,,,23538.0,126564.0,,2441.0,
014906135,3332554,,,79722.0,782343.0,,,,,,,,,,13976.0,136107.0,,26023.0,
014906136,2957652,,,87663.0,583929.0,,,,,,,,,,20843.0,129493.0,,2806.0,
014906137,2060192,,,59394.0,389429.0,,,,,,,,,,12821.0,108088.0,,1430.0,
014906138,3791295,,,72151.0,231202.0,,,,,,,,,,4716.0,136955.0,,2909.0,
014906139,3150036,,,69629.0,326048.0,,,,,,,,,,3398.0,100173.0,,8315.0,
014906140,214057,,,5702.0,19961.0,,,,,,,,,,,31667.0,,1698.0,
014906699,297692,,,1451351.0,64196.0,41048.0,,,,,,,,,,,,293937.0,
014907001,842945,,,83105.0,96347.0,,,,,,,,,,8783.0,,,,
014907041,663147,,2694.0,108722.0,93239.0,,,,,,,,,,1492.0,,,,
014907102,1077139,,1767.0,162313.0,132604.0,,,,,,,,,,2439.0,,,,
014908001,1303422,380390.0,1167.0,90748.0,208720.0,,,,,,,,,,3745.0,,,,
014908041,1321240,,1807.0,111861.0,141402.0,3529.0,,,,,,,,,,,,,
014908042,887107,,7136.0,48626.0,75928.0,,,,,,,,,,,,,,
014908101,1025489,,900.0,104841.0,81307.0,6686.0,,,,,,,,,,,,,
014909002,5046119,648129.0,9905.0,607748.0,1537139.0,,,,,,,,,,182659.0,19452.0,78019.0,,
014909041,2390977,53250.0,,50250.0,509218.0,,,,,,,,,,21726.0,8511.0,32613.0,6547.0,
014909042,2359828,42185.0,,103164.0,432604.0,,,,,,,,,,20896.0,8489.0,38391.0,,
014909044,1736153,27735.0,,58317.0,566947.0,,,,,,,,,,23315.0,7521.0,28105.0,,
014909101,10595,,,4500.0,38483.0,,,,,,,,,,3060.0,6812.0,21962.0,5996.0,
014909102,1261786,,,89242.0,148609.0,,,,,,,,,,3614.0,5190.0,18880.0,,
014909107,2495964,,,186043.0,328867.0,,,,,,,,,,7835.0,5553.0,29336.0,6377.0,
014909110,1564615,,,86948.0,157071.0,,,,,,,,,,4474.0,5503.0,20753.0,,
014909111,1706287,,,91520.0,130831.0,,,,,,,,,,4293.0,7651.0,24918.0,4675.0,
014909114,1468034,,,28450.0,238045.0,,,,,,,,,,5321.0,6869.0,18110.0,7785.0,
014909116,1530558,,,24965.0,148921.0,,,,,,,,,,4170.0,7076.0,24228.0,315.0,
014909117,1536592,,,90330.0,156809.0,,,,,,,,,,4665.0,7076.0,19716.0,,
014909118,1639763,,,31922.0,75424.0,,,,,,,,,,3755.0,7076.0,21115.0,10430.0,
014909198,51104,,,,,,,,,,,,,,98.0,,,,
